,School Name,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Community School?,Economic Need Index,School Income Estimate,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,Grade 3 ELA - All Students Tested,Grade 3 ELA 4s - All Students,Grade 3 ELA 4s - American Indian or Alaska Native,Grade 3 ELA 4s - Black or African American,Grade 3 ELA 4s - Hispanic or Latino,Grade 3 ELA 4s - Asian or Pacific Islander,Grade 3 ELA 4s - White,Grade 3 ELA 4s - Multiracial,Grade 3 ELA 4s - Limited English Proficient,Grade 3 ELA 4s - Economically Disadvantaged,Grade 3 Math - All Students tested,Grade 3 Math 4s - All Students,Grade 3 Math 4s - American Indian or Alaska Native,Grade 3 Math 4s - Black or African American,Grade 3 Math 4s - Hispanic or Latino,Grade 3 Math 4s - Asian or Pacific Islander,Grade 3 Math 4s - White,Grade 3 Math 4s - Multiracial,Grade 3 Math 4s - Limited English Proficient,Grade 3 Math 4s - Economically Disadvantaged,Grade 4 ELA - All Students Tested,Grade 4 ELA 4s - All Students,Grade 4 ELA 4s - American Indian or Alaska Native,Grade 4 ELA 4s - Black or African American,Grade 4 ELA 4s - Hispanic or Latino,Grade 4 ELA 4s - Asian or Pacific Islander,Grade 4 ELA 4s - White,Grade 4 ELA 4s - Multiracial,Grade 4 ELA 4s - Limited English Proficient,Grade 4 ELA 4s - Economically Disadvantaged,Grade 4 Math - All Students Tested,Grade 4 Math 4s - All Students,Grade 4 Math 4s - American Indian or Alaska Native,Grade 4 Math 4s - Black or African American,Grade 4 Math 4s - Hispanic or Latino,Grade 4 Math 4s - Asian or Pacific Islander,Grade 4 Math 4s - White,Grade 4 Math 4s - Multiracial,Grade 4 Math 4s - Limited English Proficient,Grade 4 Math 4s - Economically Disadvantaged,Grade 5 ELA - All Students Tested,Grade 5 ELA 4s - All Students,Grade 5 ELA 4s - American Indian or Alaska Native,Grade 5 ELA 4s - Black or African American,Grade 5 ELA 4s - Hispanic or Latino,Grade 5 ELA 4s - Asian or Pacific Islander,Grade 5 ELA 4s - White,Grade 5 ELA 4s - Multiracial,Grade 5 ELA 4s - Limited English Proficient,Grade 5 ELA 4s - Economically Disadvantaged,Grade 5 Math - All Students Tested,Grade 5 Math 4s - All Students,Grade 5 Math 4s - American Indian or Alaska Native,Grade 5 Math 4s - Black or African American,Grade 5 Math 4s - Hispanic or Latino,Grade 5 Math 4s - Asian or Pacific Islander,Grade 5 Math 4s - White,Grade 5 Math 4s - Multiracial,Grade 5 Math 4s - Limited English Proficient,Grade 5 Math 4s - Economically Disadvantaged,Grade 6 ELA - All Students Tested,Grade 6 ELA 4s - All Students,Grade 6 ELA 4s - American Indian or Alaska Native,Grade 6 ELA 4s - Black or African American,Grade 6 ELA 4s - Hispanic or Latino,Grade 6 ELA 4s - Asian or Pacific Islander,Grade 6 ELA 4s - White,Grade 6 ELA 4s - Multiracial,Grade 6 ELA 4s - Limited English Proficient,Grade 6 ELA 4s - Economically Disadvantaged,Grade 6 Math - All Students Tested,Grade 6 Math 4s - All Students,Grade 6 Math 4s - American Indian or Alaska Native,Grade 6 Math 4s - Black or African American,Grade 6 Math 4s - Hispanic or Latino,Grade 6 Math 4s - Asian or Pacific Islander,Grade 6 Math 4s - White,Grade 6 Math 4s - Multiracial,Grade 6 Math 4s - Limited English Proficient,Grade 6 Math 4s - Economically Disadvantaged,Grade 7 ELA - All Students Tested,Grade 7 ELA 4s - All Students,Grade 7 ELA 4s - American Indian or Alaska Native,Grade 7 ELA 4s - Black or African American,Grade 7 ELA 4s - Hispanic or Latino,Grade 7 ELA 4s - Asian or Pacific Islander,Grade 7 ELA 4s - White,Grade 7 ELA 4s - Multiracial,Grade 7 ELA 4s - Limited English Proficient,Grade 7 ELA 4s - Economically Disadvantaged,Grade 7 Math - All Students Tested,Grade 7 Math 4s - All Students,Grade 7 Math 4s - American Indian or Alaska Native,Grade 7 Math 4s - Black or African American,Grade 7 Math 4s - Hispanic or Latino,Grade 7 Math 4s - Asian or Pacific Islander,Grade 7 Math 4s - White,Grade 7 Math 4s - Multiracial,Grade 7 Math 4s - Limited English Proficient,Grade 7 Math 4s - Economically Disadvantaged,Grade 8 ELA - All Students Tested,Grade 8 ELA 4s - All Students,Grade 8 ELA 4s - American Indian or Alaska Native,Grade 8 ELA 4s - Black or African American,Grade 8 ELA 4s - Hispanic or Latino,Grade 8 ELA 4s - Asian or Pacific Islander,Grade 8 ELA 4s - White,Grade 8 ELA 4s - Multiracial,Grade 8 ELA 4s - Limited English Proficient,Grade 8 ELA 4s - Economically Disadvantaged,Grade 8 Math - All Students Tested,Grade 8 Math 4s - All Students,Grade 8 Math 4s - American Indian or Alaska Native,Grade 8 Math 4s - Black or African American,Grade 8 Math 4s - Hispanic or Latino,Grade 8 Math 4s - Asian or Pacific Islander,Grade 8 Math 4s - White,Grade 8 Math 4s - Multiracial,Grade 8 Math 4s - Limited English Proficient,Grade 8 Math 4s - Economically Disadvantaged,Rigorous Instruction %,Collaborative Teachers %,Supportive Environment %,Effective School Leadership %,Strong Family-Community Ties %,Trust %,Percent Asian,Percent ELL,Percent Black,Student Attendance Rate,Percent Black / Hispanic,Percent White,Percent of Students Chronically Absent,Percent Hispanic
1035,P.S. 003 THE MARGARET GIOIOSA SCHOOL,31R003,31,40.520825,-74.211845,"80 S GOFF AVE STATEN ISLAND, NY 10309",STATEN ISLAND,10309,"PK,0K,01,02,03,04,05",0,0.19399999999999998,"$89,390.74 ",Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,2.84,3.15,154,14,0,0,2,1,11,0,0,0,152,38,0,0,2,7,29,0,1,6,149,34,0,0,3,0,28,0,0,7,148,73,0,0,4,0,61,0,0,14,156,42,0,0,3,0,34,0,0,6,155,54,0,0,3,0,41,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.72,0.9,0.51,0.8300000000000001,0.71,0.05,0.02,0.0,0.9500000000000001,0.12,0.8200000000000001,0.11,0.12
1036,P.S. 004 MAURICE WOLLIN,31R004,31,40.552372999999996,-74.195516,"200 NEDRA LANE STATEN ISLAND, NY 10312",STATEN ISLAND,10312,"PK,0K,01,02,03,04,05",0,0.292,"$91,880.61 ",Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,2.78,2.86,115,6,0,0,0,0,4,0,0,0,117,25,0,0,3,0,18,0,0,5,131,19,0,0,5,0,13,0,0,8,128,14,0,0,2,0,11,0,1,6,112,13,0,0,1,0,9,0,0,2,112,9,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9500000000000001,0.96,0.98,0.9,0.84,0.96,0.05,0.03,0.02,0.9400000000000001,0.21,0.72,0.14,0.18
1037,P.S. 005 HUGUENOT,31R005,31,40.529697,-74.18753199999999,"348 DEISIUS ST STATEN ISLAND, NY 10312",STATEN ISLAND,10312,"0K,01,02,03,04,05",0,0.158,"$95,538.26 ",Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,3.2,3.35,38,13,0,0,0,0,0,0,0,2,38,16,0,0,0,0,0,0,0,1,37,12,0,0,0,0,0,0,0,3,37,13,0,0,0,0,0,0,0,1,24,11,0,0,0,0,0,0,0,0,25,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.99,1.0,0.96,0.9,0.96,0.01,0.0,0.0,0.96,0.07,0.91,0.05,0.07
1038,P.S. 6 CORPORAL ALLAN F. KIVLEHAN SCHOOL,31R006,31,40.510274,-74.230429,"555 PAGE AVE STATEN ISLAND, NY 10307",STATEN ISLAND,10307,"PK,0K,01,02,03,04,05",0,0.239,"$82,498.64 ",Meeting Target,Exceeding Target,Exceeding Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,2.52,2.88,85,11,0,0,2,0,8,0,0,3,84,27,0,0,1,0,24,0,0,7,106,19,0,0,0,1,18,0,0,3,108,21,0,0,0,2,19,0,0,7,109,18,0,0,0,0,17,0,0,3,109,35,0,0,0,0,32,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.88,0.96,0.6900000000000001,0.84,0.81,0.03,0.03,0.0,0.9500000000000001,0.12,0.8300000000000001,0.12,0.12
1040,P.S. 8 SHIRLEE SOLOMON,31R008,31,40.547645,-74.151951,"112 LINDENWOOD RD STATEN ISLAND, NY 10308",STATEN ISLAND,10308,"PK,0K,01,02,03,04,05",0,0.273,"$85,181.84 ",Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,2.9,3.1,98,34,0,0,3,0,25,0,0,5,99,47,0,0,4,0,34,0,0,9,66,16,0,0,0,0,11,0,0,3,66,25,0,0,0,0,21,0,0,5,65,9,0,0,0,0,9,0,0,1,66,5,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.97,0.9500000000000001,0.87,0.87,0.97,0.06,0.02,0.02,0.9500000000000001,0.15,0.78,0.11,0.13
1041,P.S. 11 THOMAS DONGAN SCHOOL,31R011,31,40.590709000000004,-74.097904,"50 JEFFERSON ST STATEN ISLAND, NY 10304",STATEN ISLAND,10304,"PK,0K,01,02,03,04,05",0,0.5670000000000001,"$61,018.91 ",Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,2.52,2.63,45,3,0,0,1,0,2,0,0,2,46,4,0,0,2,0,2,0,0,3,35,5,0,0,2,0,3,0,0,2,35,1,0,0,0,0,1,0,0,0,42,3,0,0,1,0,2,0,0,1,42,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.86,0.85,0.77,0.88,0.87,0.08,0.11,0.16,0.9400000000000001,0.56,0.35000000000000003,0.19,0.4
1042,P.S. 013 M. L. LINDEMEYER,31R013,31,40.613146,-74.06915,"191 VERMONT AVE STATEN ISLAND, NY 10305",STATEN ISLAND,10305,"PK,0K,01,02,03,04,05",0,0.639,"$62,621.47 ",Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,2.48,2.76,165,6,0,1,2,0,2,0,0,2,165,31,0,2,6,0,12,0,1,11,145,14,0,4,5,0,1,0,0,5,145,29,0,5,8,0,6,0,1,11,129,9,0,0,2,0,4,0,0,4,130,24,0,1,10,0,7,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9400000000000001,0.93,0.9500000000000001,0.85,0.88,0.9400000000000001,0.15,0.13,0.16,0.9400000000000001,0.6,0.22,0.2,0.44
1043,P.S. 016 JOHN J. DRISCOLL,31R016,31,40.639728999999996,-74.07958199999999,"80 MONROE AVE STATEN ISLAND, NY 10301",STATEN ISLAND,10301,"PK,0K,01,02,03,04,05",0,0.8290000000000001,"$49,651.70 ",Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,2.15,2.18,94,3,0,0,1,0,0,0,0,0,94,6,0,0,6,0,0,0,1,0,106,4,0,2,0,0,2,0,0,4,106,4,0,1,0,2,1,0,0,2,103,2,0,1,1,0,0,0,0,2,106,5,0,1,1,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9500000000000001,0.87,0.9,0.74,0.8300000000000001,0.89,0.06,0.23,0.28,0.92,0.8300000000000001,0.1,0.3,0.55
1044,P.S. 018 JOHN G. WHITTIER,31R018,31,40.636542999999996,-74.11688199999999,"221 BROADWAY STATEN ISLAND, NY 10310",STATEN ISLAND,10310,"PK,0K,01,02,03,04,05",0,0.851,"$47,859.82 ",Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,2.15,2.34,81,4,0,2,1,0,0,0,0,3,80,16,0,5,8,0,0,0,0,12,90,7,0,4,3,0,0,0,0,4,90,5,0,1,4,0,0,0,0,4,90,2,0,1,1,0,0,0,0,1,89,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.81,0.84,0.72,0.8300000000000001,0.86,0.04,0.06,0.43,0.92,0.89,0.05,0.34,0.46
1045,P.S. 019 THE CURTIS SCHOOL,31R019,31,40.630563,-74.126888,"780 POST AVE STATEN ISLAND, NY 10310",STATEN ISLAND,10310,"0K,01,02,03,04,05",0,0.755,"$59,197.08 ",Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,2.36,2.53,104,3,0,1,2,0,0,0,0,2,104,14,0,3,4,2,0,0,0,11,100,0,0,0,0,0,0,0,0,0,102,6,0,0,4,0,0,0,0,5,92,5,0,1,0,3,1,0,0,1,92,4,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.89,0.91,0.75,0.85,0.91,0.04,0.17,0.16,0.93,0.84,0.08,0.24,0.68
1046,P.S. 020 PORT RICHMOND,31R020,31,40.636739,-74.132576,"161 PARK AVE STATEN ISLAND, NY 10302",STATEN ISLAND,10302,"PK,0K,01,02,03,04,05",0,0.862,"$41,980.16 ",Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,2.16,2.32,91,0,0,0,0,0,0,0,0,0,92,1,0,0,1,0,0,0,0,0,75,3,0,0,2,0,0,0,0,0,75,2,0,0,2,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,88,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.89,0.92,0.85,0.84,0.9,0.01,0.38,0.13,0.9400000000000001,0.91,0.06,0.18,0.79
1047,P.S. 21 MARGARET EMERY-ELM PARK,31R021,31,40.631307,-74.144611,"168 HOOKER PL STATEN ISLAND, NY 10302",STATEN ISLAND,10302,"PK,0K,01,02,03,04,05",0,0.7879999999999999,"$54,340.32 ",Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,2.2,2.36,70,2,0,0,2,0,0,0,0,0,70,2,0,0,2,0,0,0,0,0,65,4,0,2,1,0,1,0,0,2,67,3,0,0,1,0,2,0,0,2,65,2,0,0,1,0,0,0,0,1,65,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.91,0.9500000000000001,0.78,0.8200000000000001,0.87,0.02,0.17,0.24,0.93,0.8300000000000001,0.15,0.2,0.58
1048,P.S. 022 GRANITEVILLE,31R022,31,40.624959000000004,-74.150648,"1860 FOREST AVE STATEN ISLAND, NY 10303",STATEN ISLAND,10303,"PK,0K,01,02,03,04,05",0,0.696,"$60,992.26 ",Meeting Target,Exceeding Target,Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,Meeting Target,2.44,2.65,146,10,0,3,2,0,2,0,0,9,151,20,0,6,7,1,3,0,0,18,183,14,0,2,6,0,1,0,0,12,187,20,0,2,8,0,3,0,1,17,156,10,0,4,4,0,1,0,0,6,159,17,0,6,4,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.86,0.87,0.66,0.8,0.89,0.07,0.14,0.24,0.93,0.79,0.12,0.25,0.55
1049,P.S. 023 RICHMONDTOWN,31R023,31,40.570691,-74.133509,"30 NATICK ST STATEN ISLAND, NY 10306",STATEN ISLAND,10306,"PK,0K,01,02,03,04,05",0,0.261,"$88,174.15 ",Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,3.0,3.29,83,14,0,0,0,0,12,0,0,1,83,32,0,0,0,0,30,0,0,7,61,14,0,0,0,0,9,0,0,2,61,15,0,0,0,0,12,0,0,2,76,25,0,0,0,0,23,0,0,1,76,36,0,0,2,0,32,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9500000000000001,0.97,0.9500000000000001,0.92,0.88,0.97,0.03,0.02,0.01,0.9500000000000001,0.18,0.77,0.1,0.17
1051,P.S. 026 THE CARTERET SCHOOL,31R026,31,40.59156,-74.190234,"4108 VICTORY BLVD STATEN ISLAND, NY 10314",STATEN ISLAND,10314,"0K,01,02,03,04,05",0,0.392,"$79,357.72 ",Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,2.65,2.87,26,3,0,0,0,0,3,0,0,0,26,13,0,0,0,0,6,0,0,6,24,2,0,0,0,1,1,0,0,2,24,4,0,0,2,1,1,0,0,3,23,2,0,0,2,0,0,0,0,2,22,4,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0.97,0.9400000000000001,0.89,0.99,0.08,0.09,0.04,0.9500000000000001,0.39,0.51,0.11,0.34
1054,P.S. 029 BARDWELL,31R029,31,40.613944000000004,-74.116236,"1581 VICTORY BLVD STATEN ISLAND, NY 10314",STATEN ISLAND,10314,"PK,0K,01,02,03,04,05",0,0.34700000000000003,"$72,028.99 ",Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,2.89,3.06,131,20,0,0,1,2,15,0,0,3,132,43,0,0,2,13,26,0,0,9,128,33,0,0,4,4,25,0,0,6,128,31,0,0,5,5,21,0,0,6,126,36,0,2,8,7,19,0,0,15,126,34,0,0,6,11,17,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9400000000000001,0.9500000000000001,0.97,0.88,0.97,0.96,0.16,0.03,0.09,0.9500000000000001,0.3,0.52,0.1,0.22
1055,P.S. 030 WESTERLEIGH,31R030,31,40.618028,-74.133161,"200 WARDWELL AVE STATEN ISLAND, NY 10314",STATEN ISLAND,10314,"0K,01,02,03,04,05",0,0.31,"$83,138.08 ",Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,2.85,3.12,127,19,0,0,3,1,15,0,0,7,126,36,0,0,7,1,27,0,0,12,114,22,0,0,6,0,15,0,0,4,114,29,0,0,6,0,21,0,0,9,122,22,0,0,5,3,12,0,0,6,123,28,0,0,1,3,24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9500000000000001,0.97,0.96,0.89,0.84,0.96,0.06,0.06,0.02,0.9500000000000001,0.25,0.66,0.14,0.23
1056,P.S. 031 WILLIAM T. DAVIS,31R031,31,40.641954,-74.08545699999999,"55 LAYTON AVE STATEN ISLAND, NY 10301",STATEN ISLAND,10301,"PK,0K,01,02,03,04,05",0,0.902,"$49,054.18 ",Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,2.12,2.18,91,0,0,0,0,0,0,0,0,0,91,3,0,1,2,0,0,0,0,3,62,1,0,1,0,0,0,0,0,0,62,3,0,2,0,0,0,0,0,2,65,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.9,0.89,0.78,0.85,0.93,0.0,0.04,0.52,0.9,0.91,0.04,0.41000000000000003,0.39
1057,P.S. 032 THE GIFFORD SCHOOL,31R032,31,40.555229,-74.154172,"32 ELVERTON AVE STATEN ISLAND, NY 10308",STATEN ISLAND,10308,"PK,0K,01,02,03,04,05",0,0.243,"$87,061.73 ",Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,2.74,2.94,101,4,0,0,0,0,4,0,0,3,102,32,0,0,0,0,25,0,0,12,102,30,0,0,8,0,22,0,0,7,102,25,0,0,4,0,21,0,0,5,117,22,0,0,1,1,20,0,0,7,115,26,0,0,0,3,23,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.9,0.93,0.8300000000000001,0.86,0.9,0.03,0.02,0.01,0.9500000000000001,0.17,0.78,0.13,0.17
1059,P.S. 35 THE CLOVE VALLEY SCHOOL,31R035,31,40.613578000000004,-74.098959,"60 FOOTE AVE STATEN ISLAND, NY 10301",STATEN ISLAND,10301,"0K,01,02,03,04,05",0,0.319,"$74,254.73 ",Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,3.13,3.32,69,22,0,0,2,0,17,0,0,6,68,29,0,1,5,0,17,0,0,10,50,26,0,0,0,0,19,0,0,5,51,22,0,0,4,0,16,0,0,4,57,20,0,0,5,0,11,0,0,5,58,18,0,0,4,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.96,0.99,0.85,0.87,0.96,0.06,0.03,0.09,0.9400000000000001,0.32,0.5700000000000001,0.14,0.24
1060,P.S. 036 J. C. DRUMGOOLE,31R036,31,40.543238,-74.182578,"255 IONIA AVE STATEN ISLAND, NY 10312",STATEN ISLAND,10312,"PK,0K,01,02,03,04,05",0,0.17300000000000001,"$88,391.97 ",Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,3.06,3.14,143,25,0,0,2,0,21,0,0,4,142,35,0,0,4,0,27,0,0,5,133,41,0,0,0,0,36,0,0,10,134,25,0,0,0,0,22,0,0,4,159,43,0,0,0,7,35,0,0,5,159,54,0,0,0,11,39,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.85,0.91,0.6900000000000001,0.84,0.8300000000000001,0.06,0.02,0.0,0.9500000000000001,0.12,0.81,0.08,0.12
1061,P.S. 038 GEORGE CROMWELL,31R038,31,40.574938,-74.099425,"421 LINCOLN AVE STATEN ISLAND, NY 10306",STATEN ISLAND,10306,"PK,0K,01,02,03,04,05",0,0.5379999999999999,"$80,042.25 ",Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,2.75,2.88,49,3,0,0,0,0,2,0,0,2,50,11,0,0,1,0,6,0,0,7,60,13,0,0,4,3,6,0,0,7,60,15,0,0,2,5,8,0,0,8,54,4,0,0,0,0,3,0,0,0,54,10,0,0,2,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.92,0.96,0.84,0.8200000000000001,0.9,0.08,0.15,0.02,0.9500000000000001,0.36,0.55,0.16,0.33
1062,P.S. 39 FRANCIS J. MURPHY JR.,31R039,31,40.597613,-74.071405,"71 SAND LN STATEN ISLAND, NY 10305",STATEN ISLAND,10305,"PK,0K,01,02,03,04,05",0,0.562,"$73,449.66 ",Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,2.57,2.68,77,8,0,1,1,3,3,0,0,5,78,10,0,0,2,3,5,0,0,5,90,15,0,2,0,3,10,0,0,9,92,9,0,1,1,1,6,0,0,6,72,5,0,0,0,0,3,0,0,4,73,13,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0.93,0.97,0.85,0.86,0.9400000000000001,0.14,0.11,0.05,0.9400000000000001,0.37,0.47000000000000003,0.19,0.32
